#Stadt,Einwohner,Breitengrad,Laengengrad
Qui Nhon,210338,13.77,109.24
Qujing,6162200,25.48,103.78
Rach Gia,228356,10.02,105.08
Rahim Yar Khan,299763,28.42,70.3
Raipur,679995,21.24,81.63
Rajkot,1177362,22.31,70.79
Rajpur,444201,22.44,88.44
Rajshahi,808414,24.37,88.59
Ranchi,944980,23.36,85.33
Rangoon,4090000,16.79,96.15
Rangpur,285564,25.74,89.25
Rasht,557366,37.3,49.63
Rawalpindi,1743101,33.6,73.04
Rengasdengklok,201463,-6.15,107.28
Rishon LeZiyyon,217400,31.96,34.8
Riyadh,5188286,24.65,46.77
Rostov-na-Donu,1048124,47.24,39.71
Ryazan,513261,54.62,39.74
Rybinsk,214945,58.05,38.83
Sabzevar,214582,36.22,57.63
Sagamihara,628638,35.58,139.38
Saharanpur,484873,29.97,77.54
Sahiwal,235695,30.67,73.11
Saint Petersburg,4600276,59.93,30.32
Saitama,1222434,35.87,139.64
Sakai,835492,34.57,135.48
Samara,1133754,53.2,50.15
Samarinda,355160,-0.5,117.15
Samarkand,319366,39.66,66.95
Samsun,423859,41.29,36.33
Samut Prakan,388920,13.61,100.61
Sana,1707531,15.38,44.21
Sanandaj,316862,35.3,47.02
Sanchung,383636,25.07,121.48
Sandakan,392288,5.85,118.11
San Fernando,251248,15.0303,120.686
Sangli-Miraj,491254,16.86,74.57
San Jose del Monte,439090,14.8139,121.045
San Pablo,207577,14.0669,121.326
San Pedro,270216,14.3647,121.056
Santa Rosa,216650,14.3122,121.111
Santol,298976,15.1622,120.567
Sapporo,1884939,43.06,141.34
Saransk,297077,54.18,45.18
Saratov,827193,51.57,46.03
Sargodha,542603,32.08,72.67
Sari,261293,36.55,53.1
Sasebo,252904,33.16,129.72
Selam,778396,11.67,78.16
Selayang Baru,232964,3.27,101.65
Semarang,1553778,-6.97,110.42
Semey,305795,50.43,80.27
Sendai,1033515,38.26,140.89
Seoul,9708483,37.5664,127.
Seremban,372917,2.71,101.95
Setagaya,841165,35.6333,139.65
Shah Alam,481654,3.07,101.56
Shakhty,247736,47.71,40.21
Shanghai,14007000,31.23,121.47
Shangqiu,9108700,34.44,115.64
Shangrao,7282700,28.47,117.97
Shantou,5107300,23.37,116.67
Shaoyang,7641400,27.,111.2
Sharjah,685000,25.37,55.41
Shekhupura,361303,31.72,73.98
Shenyang,7165500,41.8,123.45
Shijiazhuang,9774100,38.05,114.48
Shimonoseki,290693,33.96,130.94
Shiraz,1227331,29.63,52.57
Shizuoka,718623,34.98,138.39
Sholapur,997281,17.67,75.89
Shymkent,657100,42.32,69.59
Sialkot,477396,32.52,74.55
Siliguri,515574,26.73,88.42
Singapore,3771700,1.3,103.85
Sinviju,285903,40.1,124.41
Sivas,294402,39.75,37.02
Smolensk,317915,54.78,32.04
Sochi,329481,43.6,39.73
Soka,236268,35.82,139.79
Songnam,951424,37.4386,127.138
South Dum Dum,447544,22.61,88.41
Srinagar,975857,34.09,74.79
Staryy Oskol,218189,51.3,37.84
